id_cliente,nombre_cliente,direccion,comuna,tipo_cliente,fecha_alta_contrato
CL-00020,Paulina Jessica Villa Verdugo,Avda. Pablo Ramos 2267 Piso 6,Concepción,Comercial,2023-01-03
CL-00021,Jorge Brian Carmona Gómez,Avenida Francisco Bilbao 99,Hualpén,Residencial,2022-05-29
CL-00022,Carolina Solís Ortega,Caupolicán 7,Concepción,Comercial,2019-12-18
CL-00023,María Andrea González Ávalos,Psje. Manuel Rodríguez 7818 Dpto. 6351,Concepción,Residencial,2021-12-13
CL-00024,Fernanda Rojas,Calle Los Calafates 4,Talcahuano,Residencial,2019-09-12
CL-00025,María Ruiz,Avda. Bernardo O'Higgins 849 Dpto. 9285,Talcahuano,Residencial,2017-09-02
CL-00026,Luciano Silva Aravena,Calle Samuel Torres 98,Chiguayante,Residencial,2023-10-04
CL-00027,Abigail Katherine Castillo Ortega,Las Lilas 3082 Dpto. 1469,Concepción,Residencial,2020-03-10
CL-00028,Fernanda Nury Calderón Guzmán,Los Abedules 957 Piso 94,Talcahuano,Residencial,2019-01-25
CL-00029,Daniela Alejandra Quezada Araya,Avenida Los Piñones 66,Hualpén,Residencial,2023-10-09
CL-00030,César Francisco Lizana Espinosa,Calle Enrique Mac Iver 9014,Concepción,Residencial,2013-07-12
CL-00031,Álvaro Manuel López Piña,Psje. Gabriela Mistral 827 Of. 781,Hualpén,Residencial,2020-06-25
CL-00032,Denisse Michelle Flores Soto,Avda. Caupolicán 93,Concepción,Residencial,2015-10-10
CL-00033,Fernando Antonio Catalán Solar,Natalia Hernández 48,Concepción,Residencial,2022-06-06
CL-00034,Miguel Freddy Valenzuela Flores,Calle Camilo Henríquez 7,San Pedro de la Paz,Residencial,2015-04-12
CL-00035,Pedro Víctor Aros Parra,Colo Colo 6 Of. 2385,San Pedro de la Paz,Residencial,2017-07-04
CL-00036,María Dinamarca Ayala,Calle Los Cactus 79 Dpto. 848,Chiguayante,Residencial,2015-08-17
CL-00037,Nicol Hernández,Arturo Prat 245,Concepción,Residencial,2017-04-22
CL-00038,Gloria María Vera Retamales,Los Alerces 7501,Concepción,Residencial,2018-02-28
CL-00039,Ricardo Romero Cubillos,Calle Karen Sepúlveda 5702 Dpto. 5776,Hualpén,Residencial,2022-11-18
CL-00040,Yolanda Sepúlveda Gómez,Omar Rodríguez 372,Talcahuano,Residencial,2011-11-20
CL-00041,Viviana Ibarra Rojas,Alonso de Ercilla 23 Dpto. 740,Concepción,Residencial,2022-03-13
CL-00042,Elvira Carolina Castañeda Pérez,Calle Esmeralda 741 Piso 38,Talcahuano,Residencial,2014-10-14
CL-00043,Jonathan Reyes Contreras,Alberto Hurtado 3102 Piso 8,Concepción,Residencial,2022-05-08
CL-00044,Marisol Valeria Olivares Acevedo,Avenida Gabriela Mistral 1,San Pedro de la Paz,Residencial,2021-09-12
CL-00045,Javiera Pavez,Los Robles 3163 Of. 4822,Concepción,Comercial,2017-07-09
CL-00046,Fabián Matías Cortés Leal,Avenida Laura Godoy 91 Of. 323,Hualpén,Residencial,2015-09-18
CL-00047,Ronaldo Mark Díaz Castillo,Calle Pedro Ramírez 2093,Concepción,Residencial,2011-11-04
CL-00048,Reinaldo Segura,Bulnes 43,Talcahuano,Residencial,2017-08-02
CL-00049,Rolando Gustavo Arias Alvear,Manuel Baquedano 204 Piso 65,Talcahuano,Residencial,2024-08-31
CL-00050,Tania Marcela Ponce Parraguez,Calle María Muñoz 8534 Piso 9,Concepción,Residencial,2020-02-15
CL-00051,Luis Ignacio Sánchez Cerda,Calle Javier Núñez 6082 Piso 45,San Pedro de la Paz,Comercial,2018-04-04
CL-00052,Tamara Carmen Ruiz Lizana,Calle María Rodríguez 191 Of. 833,Chiguayante,Residencial,2022-02-26
CL-00053,Katherine Margarita González Rebolledo,Andrés Gómez 338,San Pedro de la Paz,Residencial,2018-08-16
CL-00054,Nelly Ximena Gallardo González,Calle David Valenzuela 68,San Pedro de la Paz,Comercial,2014-06-16
CL-00055,Israel Navarrete,Las Margaritas 26 Piso 6,Hualpén,Residencial,2013-03-16
CL-00056,Carolina Silva Herrera,Margarita Ferreira 7903,San Pedro de la Paz,Residencial,2019-09-10
CL-00057,Colomba Valderrama Castillo,Nicolás Ormeño 7868 Piso 49,Concepción,Residencial,2018-07-07
CL-00058,Kevin Dylan Orellana Arancibia,Calle Esmeralda 987,Concepción,Residencial,2017-11-18
CL-00059,Leonel Zavala,Av. Los Robles 28 Dpto. 130,Concepción,Residencial,2024-05-17
CL-00060,María Mansilla,Pasaje Los Naranjos 40,Talcahuano,Comercial,2019-12-17
CL-00061,Ariel Loyola,Luis Calderón 255,Talcahuano,Residencial,2021-05-20
CL-00062,Rosario Ana Segovia Cabello,Calle Marco García 5053 Dpto. 540,Concepción,Residencial,2013-08-08
CL-00063,Vicente Tapia,Los Palmitos 3396,Chiguayante,Residencial,2017-09-08
CL-00064,María Carmen Carrasco Loyola,Avda. Paulina Sepúlveda 872 Dpto. 3123,Talcahuano,Residencial,2013-01-01
CL-00065,Lucía Paula Allende Alvarado,Av. Alfonso Barría 4216 Piso 6,Concepción,Residencial,2017-01-17
CL-00066,Juliana Patricia Valladares Vargas,Avenida Gabriela Mistral 4002,Talcahuano,Residencial,2019-05-17
CL-00067,Alexis Felipe Salas Valdés,Calle Las Margaritas 901,Concepción,Residencial,2021-12-10
CL-00068,Cristian Pereira González,Calle Baquedano 64 Piso 2,Chiguayante,Residencial,2021-06-27
CL-00069,Clara Monserrat Cifuentes Riquelme,Ángel Troncoso 5018,Concepción,Residencial,2013-06-14
CL-00070,Benjamín Herrera Bastías,Gastón Zúñiga 7303,San Pedro de la Paz,Residencial,2023-02-27
CL-00071,Fernanda Pamela Ortiz Gómez,Calle Sebastián Aliaga 317 Dpto. 631,Chiguayante,Residencial,2016-03-06
CL-00072,Adán Jonathan Acosta Durán,Calle Arturo Alessandri Palma 926 Piso 9,Concepción,Residencial,2016-09-11
CL-00073,José Benjamín Garrido Pinto,Av. Alonso Marín 6147 Piso 1,Concepción,Residencial,2021-05-30
CL-00074,Teresa Sofía Godoy Aburto,Calle Sergio Moraga 27,Chiguayante,Comercial,2015-10-19
CL-00075,María Amanda Ulloa Núñez,Katherine Gálvez 7522,Chiguayante,Residencial,2013-10-30
CL-00076,Elsa Araya Fuentes,Los Aromos 669 Dpto. 9936,Chiguayante,Residencial,2023-01-16
CL-00077,Mario Félix Díaz Zúñiga,Martín Araya 4689 Of. 613,Chiguayante,Residencial,2014-09-17
CL-00078,Hilda Nicole Gutiérrez León,Calle Los Aromos 6105,Concepción,Residencial,2015-09-28
CL-00079,Jean Rodríguez Gallardo,Calle Las Malvas 46,Talcahuano,Residencial,2016-10-20
CL-00080,Roberto Rojas,Calle Claudia Valladares 16,Concepción,Residencial,2025-06-08
CL-00081,Vicente Arévalo,Arturo Prat 3917 Dpto. 25,San Pedro de la Paz,Residencial,2016-10-04
CL-00082,Marisol Ruz-Bahamondes Arias,Calle Manuel Bulnes 37,Hualpén,Residencial,2019-03-29
CL-00083,Carol Sonia Brito Quiroz,Los Digitales 17 Piso 1,Talcahuano,Residencial,2020-04-24
CL-00084,Víctor Nelson Gaete Maldonado,Avenida Esmeralda 9667,Concepción,Residencial,2015-02-06
CL-00085,María Cecilia Sánchez Cortés,Anahí Pereira 224 Of. 4621,Concepción,Industrial,2015-01-02
CL-00086,Constanza Hilda Neira Díaz,Diego Barros Arana 87,Talcahuano,Residencial,2017-08-07
CL-00087,Pablo Manuel Olivares Domínguez,Los Carrera 5563 Dpto. 611,Chiguayante,Residencial,2016-12-26
CL-00088,Noelia Gaete Molina,Calle Los Helechos 4904,Hualpén,Residencial,2024-10-16
CL-00089,Emilio Lorenzo Azócar Olivares,Calle Arturo Prat 809,San Pedro de la Paz,Residencial,2024-04-13
CL-00090,Ángela Sofía Espinoza Alarcón,Calle Los Copihues 9546,Talcahuano,Residencial,2015-09-27
CL-00091,Esteban Daniel Hernández Cáceres,Lautaro 22,Concepción,Residencial,2022-08-31
CL-00092,José Sandoval Poblete,Padre Alberto Hurtado 720 Piso 9,Chiguayante,Industrial,2023-05-23
CL-00093,Luis Henríquez Rojas,Calle Vicente Briceño 3332 Of. 9898,Chiguayante,Residencial,2021-06-19
CL-00094,Benjamín Luciano Vera Leal,Manuel Rodríguez 760,Hualpén,Residencial,2016-12-24
CL-00095,María Ana Ortega Adasme,Camino Angélica Prado 171,Chiguayante,Residencial,2021-09-19
CL-00096,Kevin Lara Cid,Calle Las Mosquetas 81,Talcahuano,Residencial,2016-05-16
CL-00097,María Constanza Silva Chávez,Los Pinos 5421,Talcahuano,Residencial,2020-05-22
CL-00098,Maritza Matilde Hernández Salas,Arturo Prat 5747 Piso 2,Talcahuano,Residencial,2016-07-13
CL-00099,Doris Milena Rodríguez González,Calle Manuel Rodríguez 892 Piso 68,Concepción,Residencial,2015-07-05
CL-00100,Abelardo Campos Valdebenito,Alberto Hurtado 4090,Concepción,Comercial,2012-09-09
CL-00101,Maximiliano Rodríguez Caro,Av. Sebastián Martínez 713,Concepción,Residencial,2020-04-26
CL-00102,Rosa Guevara Santibáñez,Calle Manuel Rodríguez 7216 Dpto. 665,Hualpén,Residencial,2015-04-15
CL-00103,Héctor Jaime Jara Suazo,Avda. Josefa Vásquez 4272 Piso 9,Concepción,Residencial,2024-08-01
CL-00104,Orfelina Adriana Aguayo Neira,Pasaje Gabriela Mistral 173 Dpto. 506,Talcahuano,Residencial,2024-07-18
CL-00105,Nicanor Sánchez Parada,Calle Eduardo Gómez 96,San Pedro de la Paz,Residencial,2013-02-23
CL-00106,Paulina Marcia Sánchez Rubilar,Calle Los Laureles 3654,Concepción,Residencial,2012-06-06
CL-00107,Danitza Francisca Cáceres Cornejo,Los Copihues 782,Talcahuano,Residencial,2011-08-01
CL-00108,Félix Jorge Castillo Berríos,Andrea González 49 Dpto. 699,Chiguayante,Residencial,2011-09-22
CL-00109,Gustavo Vásquez,Av. Ramiro Vidal 1648,Concepción,Residencial,2013-10-20
CL-00110,Juan Jorquera,Avenida Bastián Acuña 3368 Of. 663,Concepción,Residencial,2013-11-09
CL-00111,Raquel Pacheco Leiva,Yoselin Bravo 944,Concepción,Comercial,2018-09-24
CL-00112,Daniela Mercedes Tapia Pinto,Las Margaritas 7,Concepción,Residencial,2012-11-08
CL-00113,Pablo Alberto Carrasco Retamal,Gabriela Mistral 285 Dpto. 376,San Pedro de la Paz,Residencial,2019-06-11
CL-00114,Luis Francisco Contreras Alvarado,San Martín 291 Dpto. 2910,Chiguayante,Residencial,2012-07-18
CL-00115,Sofía Antonella Valencia Quintanilla,Los Girasoles 704,Hualpén,Residencial,2023-03-20
CL-00116,Ana Sofía Araya Torres,Avda. Ximena Contreras 61,San Pedro de la Paz,Residencial,2015-07-21
CL-00117,Pedro Gary Paredes Aguirre,Picarte 5538 Piso 74,Chiguayante,Industrial,2025-07-07
CL-00118,Alejandro Segovia,Pasaje Gabriela Mistral 6258,Concepción,Residencial,2014-09-24
CL-00119,Teresa Patricia Rojas Fredes,Psje. Milovan Gutiérrez 4 Of. 760,San Pedro de la Paz,Residencial,2022-03-23
CL-00120,Daniel Díaz,Calle Felipe Martínez 7281 Of. 3484,Talcahuano,Residencial,2023-04-08
CL-00121,Carolina Maite Tapia Inzunza,Calle Alonso de Ercilla 7819,Chiguayante,Residencial,2020-11-19
CL-00122,Tomás Opazo Araya,Camino Hugo Carreño 9343,San Pedro de la Paz,Residencial,2016-12-13
CL-00123,Teresa Nadia Olea Tapia,Eusebio Lillo 2209,Concepción,Residencial,2023-12-28
CL-00124,Nelly Peñaloza Castillo,Las Hortensias 3244,Concepción,Comercial,2021-05-30
CL-00125,Carlos Torres Díaz,Calle Lord Thomas Cochrane 770,Concepción,Residencial,2015-02-10
CL-00126,Cristóbal Sebastián Reyes Neira,Las Margaritas 8665,Talcahuano,Residencial,2019-05-31
CL-00127,Berta Estrella Zamora Méndez,Calle Darío Villalobos 601,Chiguayante,Residencial,2021-04-03
CL-00128,Katherine Navarrete,Las Hortensias 902 Of. 441,San Pedro de la Paz,Residencial,2022-11-21
CL-00129,Dominga Díaz,Jaime Sepúlveda 41,Concepción,Residencial,2015-07-27
CL-00130,Alberto Marcelo Fernández Silva,Esmeralda 8244,Talcahuano,Residencial,2021-11-03
CL-00131,Astrid Cárdenas Medina,Calle Pedro Aguirre Cerda 976,Talcahuano,Residencial,2013-05-03
CL-00132,Patricio Felipe Valenzuela Soto,Calle Javiera Marchant 26 Of. 394,Concepción,Residencial,2022-11-19
CL-00133,Susana Medel,Manuel Montt 245 Of. 4666,Concepción,Residencial,2023-07-28
CL-00134,Carmen Muñoz Riveros,Los Abedules 58,Talcahuano,Residencial,2019-01-16
CL-00135,Brandon Torres Toledo,Avenida Las Margaritas 9 Piso 6,San Pedro de la Paz,Comercial,2015-07-31
CL-00136,María Isabel Núñez Cifuentes,Av. Patricio Flores 3355,Talcahuano,Residencial,2020-06-15
CL-00137,Mercedes Juana Saldías Román,Calle Alonso de Ercilla 9953 Dpto. 64,Talcahuano,Residencial,2014-12-02
CL-00138,Elizabeth Martina Veloso Orellana,Pedro Cornejo 71,Chiguayante,Residencial,2014-05-11
CL-00139,Romina Sanhueza-Zúñiga Flores,Lautaro 1077 Piso 6,Talcahuano,Industrial,2024-08-13
CL-00140,Maximiliano Cisternas Fuentes,Los Abedules 496,San Pedro de la Paz,Comercial,2022-11-27
CL-00141,Paulina Aguirre,Calle Las Mosquetas 80,San Pedro de la Paz,Residencial,2017-06-26
CL-00142,Tomás Víctor Martínez-Ramos Paredes,Av. Daniel Elgueta 60 Of. 801,Concepción,Residencial,2023-06-24
CL-00143,Exequiel Henríquez-Contreras,Calle Las Araucarias 8185 Of. 5068,Talcahuano,Residencial,2016-05-29
CL-00144,Renata Carla Sánchez Zambrano,Los Copihues 3300,Concepción,Residencial,2024-08-06
CL-00145,Ximena Mónica Aliaga Salinas,Los Alerces 33,Concepción,Residencial,2011-12-15
CL-00146,Margarita Arenas,Avda. Virginia Mamani 500,Concepción,Residencial,2021-09-14
CL-00147,Oscar Faúndez,Calle José Manuel Balmaceda 3964,Hualpén,Residencial,2019-09-24
CL-00148,Guillermo Lenin Leiva Sepúlveda,Gabriela Silva 79,Talcahuano,Residencial,2021-06-09
CL-00149,Ximena Viviana Aguilera García,Calle Mac Iver 845 Dpto. 2914,Concepción,Residencial,2014-02-27
CL-00150,Ignacio Reyes Carrillo,Avenida María Medina 4376,Concepción,Residencial,2019-05-08
CL-00151,Ramón Mena Vega,Calle Pedro Montt 84 Of. 228,San Pedro de la Paz,Residencial,2014-03-07
CL-00152,América Medina,Gabriela Mistral 498,Concepción,Residencial,2016-10-26
CL-00153,Cristóbal Nicolás Benavides Guzmán,Calle Katherine Barría 2 Dpto. 71,Concepción,Residencial,2017-12-22
CL-00154,Pía Isabel Ojeda Sepúlveda,Los Abedules 6787,Talcahuano,Residencial,2019-12-08
CL-00155,Miguel Uribe,Pasaje Arturo Alessandri 926 Piso 18,San Pedro de la Paz,Residencial,2016-10-28
CL-00156,Ámbar Espinosa,Calle Los Laureles 563 Dpto. 9962,Concepción,Comercial,2017-05-10
CL-00157,Camilo Renato Segovia Muñoz,Avenida Ramón Picarte 4 Dpto. 400,Hualpén,Residencial,2017-08-20
CL-00158,Raimundo Allendes Ibarra,Calle Las Hortensias 766,Chiguayante,Residencial,2012-08-18
CL-00159,Hugo Salvador Parra Meza,Avda. Delia Sánchez 5354,Concepción,Residencial,2013-06-29
CL-00160,Nora Sandra Miranda Morales,Calle Ramón Carnicer 33,Chiguayante,Residencial,2015-12-05
CL-00161,Nataly Hernández Pérez,Calle Lastarria 6076 Dpto. 24,Talcahuano,Residencial,2017-01-21
CL-00162,Constanza Bugueño Morales,Cecilia Godoy 1371,Hualpén,Residencial,2014-11-27
CL-00163,Cristian José Robles Aburto,Karla Álvarez 2822,Hualpén,Comercial,2013-12-22
CL-00164,Teresa Alejandra Quezada Villarroel,Av. Los Pinos 558,Talcahuano,Residencial,2024-11-03
CL-00165,Leandro Manuel Molina Escobar,Calle Los Cactus 64 Of. 2979,Concepción,Industrial,2011-12-27
CL-00166,Ignacio Montes Álvarez,Psje. Bryan Villalobos 7703,Chiguayante,Residencial,2022-08-24
CL-00167,Margarita Mora Salgado,Avda. Catalina Tello 848 Of. 6247,Talcahuano,Residencial,2023-04-11
CL-00168,Angélica Nicole Fierro Fernández,Calle Los Laureles 259 Piso 57,Concepción,Comercial,2013-05-30
CL-00169,Cecilia Inostroza Arancibia,Calle Caupolicán 528,Concepción,Residencial,2021-04-28
CL-00170,Ignacia Santana Troncoso,Calle Los Piñones 80,Hualpén,Residencial,2014-08-15
CL-00171,Fernanda Parra Pinto,Calle Ruth Rojas 1650,Hualpén,Residencial,2020-02-17
CL-00172,Sandra Ema Torres López,Calle Sebastián Espinosa 282 Of. 4422,Concepción,Comercial,2019-02-27
CL-00173,Luz Yaritza Avendaño-Castro Oyarzo,Calle Margot Valenzuela 766 Dpto. 3644,Talcahuano,Comercial,2012-07-21
CL-00174,Jeannette Jara,Calle Pamela Fuentes 9497,Concepción,Residencial,2025-05-18
CL-00175,Luis Salamanca,Manuel José Irarrázaval 6758,Hualpén,Residencial,2021-09-09
CL-00176,Anna Galdames Robles,Gabriela Mistral 167 Of. 206,Concepción,Residencial,2025-02-22
CL-00177,José Alvarado Aguilera,Calle Paola Arancibia 14 Piso 12,Hualpén,Residencial,2019-04-17
CL-00178,Karina Maturana Arredondo,Vicente Rojas 2159 Piso 69,Talcahuano,Residencial,2024-01-06
CL-00179,José Aarón Toro Rozas,Avda. Santa Rosa 38,San Pedro de la Paz,Residencial,2018-05-17
CL-00180,Orlando Néstor Tapia Salazar,Calle Jonathan Lillo 4407 Dpto. 10,Concepción,Residencial,2020-03-06
CL-00181,Matías Leiva,Calle Bárbara Gallegos 501,Talcahuano,Residencial,2011-10-07
CL-00182,Luis Aguilera,Los Abedules 58 Of. 2793,Concepción,Industrial,2018-03-07
CL-00183,Grace Olivares Andrade,Calle Rubén Gutiérrez 883,San Pedro de la Paz,Residencial,2017-11-14
CL-00184,Juan Jaime Salazar Avilés,Calle Los Helechos 8 Piso 74,San Pedro de la Paz,Residencial,2012-07-19
CL-00185,Claudio Aurelio Quintana Soto,Los Digitales 12,Concepción,Residencial,2013-08-20
CL-00186,Enriqueta Antonia Campos Flores,Los Helechos 509 Dpto. 397,Hualpén,Comercial,2015-10-20
CL-00187,Ricardo Ponce,Los Naranjos 9258 Dpto. 958,Chiguayante,Comercial,2022-12-09
CL-00188,María Fuenzalida Gutiérrez,Calle Camilo Jara 52,Talcahuano,Residencial,2013-03-23
CL-00189,Juan Gaete Castillo,Antonio Varas 379 Of. 588,Talcahuano,Residencial,2015-08-27
CL-00190,Benjamín Sepúlveda,Alice Vergara 161 Dpto. 23,Concepción,Residencial,2020-03-04
CL-00191,Adela Claudia López Valenzuela,Los Pinos 23 Dpto. 66,Concepción,Residencial,2014-07-01
CL-00192,José González Arenas,Calle Antonio Varas 19 Dpto. 751,San Pedro de la Paz,Residencial,2022-06-01
CL-00193,Carlos José Abarca Pino,Calle Paulina Fernández 4268,San Pedro de la Paz,Residencial,2016-06-11
CL-00194,Amelia Agustina Rodríguez Yáñez,María Arroyo 6020,Hualpén,Residencial,2017-12-13
CL-00195,Bernardita Johana Maldonado Navarro,Sonia Díaz 4873 Of. 6789,Talcahuano,Residencial,2023-06-17
CL-00196,Josefa Gloria Barría Leiva,Calle Freire 29,Talcahuano,Residencial,2024-04-01
CL-00197,María Fabiola Díaz Vásquez,Matías Contreras 1985,Chiguayante,Residencial,2017-08-14
CL-00198,Verónica Natali Carvajal Aguilera,Pasaje Los Naranjos 351,San Pedro de la Paz,Residencial,2015-11-03
CL-00199,Mariana Elvira Lara Manríquez,Calle Mac Iver 208 Of. 174,San Pedro de la Paz,Comercial,2023-09-12
CL-00200,Silvia Daniela Jara Aguilera,Eusebio Lillo 9023 Of. 4502,Chiguayante,Residencial,2016-10-25
CL-00201,Patricio Álvaro Miranda Sepúlveda,Los Copihues 29,Hualpén,Comercial,2012-04-10
CL-00202,Mirta María Soto Mancilla,Calle José Muñoz 856 Piso 3,Concepción,Residencial,2019-03-27
CL-00203,Macarena Toro Carrasco,Avda. Lautaro 960,Concepción,Residencial,2014-12-27
CL-00204,Iván Samuel Mellado Moraga,Calle Gabriela Mistral 2682 Piso 61,San Pedro de la Paz,Residencial,2022-01-22
CL-00205,Cecilia Acuña Castillo,Los Aromos 1319,Hualpén,Residencial,2016-11-07
CL-00206,Ana Nicol Bravo Solís,Paula Jaraquemada 1,Concepción,Residencial,2012-06-20
CL-00207,Marlene Paz,Calle Esmeralda 4055,Concepción,Residencial,2019-09-21
CL-00208,Lucía González Ávalos,Avenida Mario Silva 8483 Of. 8536,Hualpén,Residencial,2022-01-16
CL-00209,Patricia Roxana Herrera Jara,Calle Carmen Aguirre 705 Of. 597,Concepción,Residencial,2021-10-30
CL-00210,Marcelo Ortiz,Av. Roberto Tapia 315,Concepción,Residencial,2020-07-15
CL-00211,José Valdivia Espinoza,Avenida Belén Aguilera 5704,Talcahuano,Residencial,2024-01-19
CL-00212,Héctor Alex Carreño Mora,Av. Los Piñones 1967 Piso 16,Hualpén,Residencial,2020-05-30
CL-00213,Carlos César Catalán Sánchez,Calle Ignacia Palma 608,Hualpén,Residencial,2016-07-10
CL-00214,Teresa Carmen Mardones Contreras,Elba Núñez 44,Concepción,Residencial,2022-02-24
CL-00215,Jonathan Alejandro Burgos Muñoz,Caupolicán 260,Chiguayante,Residencial,2020-06-28
CL-00216,José Gómez Castillo,Av. Las Azucenas 999 Piso 82,Concepción,Industrial,2018-05-05
CL-00217,Benjamín José Ibarra Torres,Pasaje Sebastián Guerra 6384,Talcahuano,Residencial,2017-09-05
CL-00218,Oscar Gallegos Plaza,Avenida Gabriela Mistral 290 Piso 59,Chiguayante,Residencial,2023-06-14
CL-00219,José González,Los Lirios 6070,Hualpén,Industrial,2015-03-21
CL-00220,Susana Velásquez,Francisco Rojas 94 Piso 31,Chiguayante,Residencial,2012-11-01
CL-00221,Ana María García Arévalo,Calle Los Tilos 1229 Dpto. 610,Hualpén,Residencial,2020-01-18
CL-00222,Almendra Pérez,Enrique Rojas 54,Hualpén,Residencial,2011-11-28
CL-00223,Macarena Jacqueline Campos Herrera,Los Aromos 2351,Concepción,Residencial,2024-07-09
CL-00224,Carlos Roberto Contreras Valdés,Calle Enrique Mac Iver 7561 Piso 2,Talcahuano,Residencial,2025-02-06
CL-00225,Mariela Doris Zamorano Reyes,Amalia Núñez 557 Of. 602,Concepción,Residencial,2024-05-29
CL-00226,Julio Máximo León Torres,Pasaje José Cornejo 98 Of. 753,Concepción,Residencial,2019-03-16
CL-00227,Elba Iris Peña Baez,Ramón Picarte 4,San Pedro de la Paz,Residencial,2011-07-29
CL-00228,Evelyn Loyola Méndez,Christian Bastías 809 Of. 8885,Talcahuano,Industrial,2014-01-16
CL-00229,Claudio Matías Sánchez Rojas,Sandra Gutiérrez 6537,San Pedro de la Paz,Residencial,2022-10-05
CL-00230,Silvia María Galaz Díaz,Calle Vivian Salazar 6881,Hualpén,Residencial,2016-05-06
CL-00231,Trinidad Salinas,Daniela Márquez 7283 Of. 5926,Chiguayante,Residencial,2021-09-27
CL-00232,Elías Hurtado Peña,Calle Manuel Bulnes 832 Dpto. 5221,Talcahuano,Residencial,2025-03-29
CL-00233,Verónica Aravena Sepúlveda,Av. Arturo Prat 9128,Hualpén,Residencial,2023-03-08
CL-00234,Augusto Miguel Valdebenito Yáñez,Juan Mackenna 583 Dpto. 55,Talcahuano,Residencial,2022-06-26
CL-00235,Claudio Patricio Bustos Martínez,Los Copihues 77,Concepción,Residencial,2015-05-03
CL-00236,Eduardo Miguel Arriagada Arenas,Las Manzanillas 2298 Dpto. 8609,Chiguayante,Comercial,2015-07-31
CL-00237,María Vanessa Fernández Valencia,Calle Guillermo Ceballos 1475 Of. 9885,Concepción,Residencial,2021-02-07
CL-00238,Mabel Núñez,José Miguel Carrera 1 Of. 9366,Concepción,Residencial,2023-10-15
CL-00239,Cecilia Edelmira Aguirre Sandoval,Manuel Rodríguez 4477,Hualpén,Residencial,2017-02-16
CL-00240,Fernanda Vera,Pasaje Los Naranjos 2,Concepción,Residencial,2013-07-05
CL-00241,Edith Aguayo,Calle Los Encinos 182,San Pedro de la Paz,Residencial,2019-01-03
CL-00242,Sara Pacheco Romero,Martín Ramírez 405,San Pedro de la Paz,Residencial,2019-01-16
CL-00243,Jorge Francisco Peñaloza Ruiz,Katherine Saavedra 2741 Piso 56,San Pedro de la Paz,Residencial,2019-07-23
CL-00244,Juan Ian Rodríguez Córdova,Camino Antonio Contreras 213,Talcahuano,Residencial,2015-10-01
CL-00245,María Núñez,Calle Pedro Osorio 115 Piso 41,Concepción,Residencial,2022-02-09
CL-00246,Marta Camila Avendaño Rebolledo,Calle Las Rosas 43,San Pedro de la Paz,Residencial,2024-12-06
CL-00247,Paulina Isabel Concha Reyes,Los Higos 527 Dpto. 31,Talcahuano,Residencial,2012-06-18
CL-00248,Alberto Ricardo Palma Herrera,Calle Ramón Carnicer 70 Of. 749,San Pedro de la Paz,Residencial,2024-06-28
CL-00249,Cynthia Emilia Benítez Solar,Los Girasoles 424 Piso 77,San Pedro de la Paz,Residencial,2015-05-28
CL-00250,Sergio Martín Zurita Mamani,Mario Soto 6467 Dpto. 661,Chiguayante,Residencial,2021-10-10
